18,ശ്രീസദനം ,,22,SNNNYS
17,പുളകം ,,21,SNNYNLG
21,രവിരദനം,,25,SNSNJNS
7,ഹംസമാല ,,11,SRG
8,"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",,,SRGG
8,"അനുഷ്ടുഭ്-പാദം-1,3",,,SRGL
8,"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",,,SRLG
8,"അനുഷ്ടുഭ്- പാദം-2,4",,,SRLL
8,"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",,,SSGG
8,"അനുഷ്ടുഭ്-പാദം-1,3",,,SSGL
10,സുമുഖി-2,,14,SSJG
,"(A/V)വിയോഗിനി-പാദം-1,3 ",,,SSJGG
8,"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",,,SSLG
,"(A/V)ഉപചിത്രം-പാദം-1,3",,,SSLG
8,"അനുഷ്ടുഭ്-പാദം-2,4",,,SSLL
13,അവനി ,,16,SSNJL
17,ജഗതീ തിലകം  ,,22,SSNJNGG
11,ധരണി ,,14,SSNLG
,"(A/V)വേഗവതി-പാദം-1,3",,,SSSGG
,"(A/V)ഹരിണപ്ലുതം-പാദം-1,3",,,SSSLG
12,തോടകം ,,16,SSSS
16,കമനീയം,,22,SSSSSG
8,വിപുല ,,,STG
8,വിപുല ,,,STL
15,മരതകനീല ,,22,STNTY
8,വിപുല ,,,SYG
8,വിപുല ,,,SYL
12,കോകരതം,,18,SYSY
14,വസന്തതിലകം ,,21,TBJJGG
12,ലളിതാ  ,,18,TBJR
8,വിപുല ,,,TBL
8,ചപലവക്ത്രം ,,,TBLG
22,മത്തേഭം  ,,29,TBYJSRG
4,വേണി ,,7,TG
8,വിപുല ,,,TJG
11,ഉപസ്ഥിതാഖ്യം ,,17,TJJGG
8,വിപുല ,,,TJL
8,കബരി ,,12,TJLG
,(A/V)ശുദ്ധവിരാടാർഷഭം-പാദം-3,,,TJR
,"(A/V)ഭദ്രവിരാൾ-പാദം-1,3",,,TJRG
8,വിപുല ,,,TMG
8,വിപുല ,,,TML
8,വിപുല ,,,TNL
8,ചപലവക്ത്രം ,,,TNLG
21,ശശികല-1 ,,28,TNNYNJY
8,"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",,,TRGG
8,"അനുഷ്ടുഭ്-പാദം-1,3",,,TRGL
8,നാരാചിക,,13,TRLG
8,"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",,,TRLG
8,"അനുഷ്ടുഭ്-പാദം-2,4",,,TRLL
6,വസുമതി ,,9,TS
8,"അനുഷ്ടുഭ്-പാദം-1,3/ വക്ത്രം",,,TSGG
8,"അനുഷ്ടുഭ്-പാദം-1,3",,,TSGL
8,"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",,,TSLG
8,"അനുഷ്ടുഭ്-പാദം-2,4",,,TSLL
8,വിപുല ,,,TTG
11,ഇന്ദ്രവജ്ര ,,18,TTJGG
,"(A/V)ആഖ്യാനക്കി-പാദം-1,3",,,TTJGG
